Files,Predictions,Labels
human_08495.npy,0,1
human_05783.npy,0,1
human_01738.npy,0,1
human_07940.npy,0,1
spoof_17830.npy,1,0
spoof_39067.npy,1,0
human_05797.npy,0,1
human_03211.npy,0,1
human_08841.npy,0,1
human_04210.npy,0,1
spoof_22667.npy,1,0
spoof_07194.npy,1,0
human_03512.npy,0,1
spoof_04360.npy,1,0
human_00485.npy,0,1
human_03459.npy,0,1
spoof_28894.npy,1,0
human_09549.npy,0,1
spoof_11519.npy,1,0
human_02516.npy,0,1
spoof_09134.npy,1,0
spoof_34283.npy,1,0
human_01975.npy,0,1
human_06651.npy,0,1
spoof_07729.npy,1,0
human_00899.npy,0,1
human_05665.npy,0,1
human_07440.npy,0,1
human_08671.npy,0,1
human_00018.npy,0,1
spoof_05776.npy,1,0
human_07109.npy,0,1
spoof_16600.npy,1,0
spoof_14408.npy,1,0
spoof_13303.npy,1,0
human_03067.npy,0,1
spoof_27882.npy,1,0
human_07903.npy,0,1
human_07060.npy,0,1
spoof_35149.npy,1,0
human_05513.npy,0,1
human_02966.npy,0,1
human_03724.npy,0,1
spoof_29414.npy,1,0
spoof_17759.npy,1,0
spoof_13637.npy,1,0
spoof_00006.npy,1,0
human_08976.npy,0,1
spoof_30134.npy,1,0
human_04848.npy,0,1
spoof_30615.npy,1,0
spoof_05526.npy,1,0
human_07356.npy,0,1
spoof_16674.npy,1,0
human_00325.npy,0,1
human_02228.npy,0,1
spoof_09099.npy,1,0
human_03350.npy,0,1
spoof_17397.npy,1,0
spoof_28286.npy,1,0
human_01790.npy,0,1
human_09851.npy,0,1
human_09668.npy,0,1
spoof_28179.npy,1,0
human_03045.npy,0,1
spoof_27103.npy,1,0
spoof_32302.npy,1,0
human_07706.npy,0,1
spoof_21345.npy,1,0
spoof_23575.npy,1,0
spoof_04568.npy,1,0
spoof_10940.npy,1,0
spoof_23783.npy,1,0
spoof_28930.npy,1,0
spoof_32610.npy,1,0
human_10212.npy,0,1
human_05872.npy,0,1
human_01526.npy,0,1
spoof_39607.npy,1,0
human_06644.npy,0,1
spoof_06169.npy,1,0
spoof_07662.npy,1,0
spoof_15714.npy,1,0
human_03258.npy,0,1
spoof_03103.npy,1,0
spoof_16329.npy,1,0
spoof_30717.npy,1,0
human_05202.npy,0,1
human_00371.npy,0,1
spoof_05138.npy,1,0
spoof_01508.npy,1,0
spoof_08522.npy,1,0
human_03890.npy,0,1
spoof_10822.npy,1,0
human_02987.npy,0,1
human_08128.npy,0,1
spoof_17838.npy,1,0
human_03943.npy,0,1
spoof_30443.npy,1,0
human_09966.npy,0,1
spoof_00601.npy,1,0
spoof_08967.npy,1,0
spoof_29323.npy,1,0
spoof_15183.npy,1,0
spoof_31744.npy,1,0
spoof_01576.npy,1,0
human_09398.npy,0,1
human_07434.npy,0,1
spoof_32544.npy,1,0
spoof_32919.npy,1,0
spoof_31089.npy,1,0
human_04740.npy,0,1
human_06307.npy,0,1
spoof_07959.npy,1,0
spoof_00932.npy,1,0
spoof_06135.npy,1,0
spoof_34201.npy,1,0
human_01837.npy,0,1
spoof_31327.npy,1,0
spoof_07032.npy,1,0
human_04456.npy,0,1
human_05217.npy,0,1
human_07720.npy,0,1
spoof_25562.npy,1,0
human_02893.npy,0,1
human_02100.npy,0,1
spoof_38321.npy,1,0
spoof_21149.npy,1,0
human_00084.npy,0,1
human_02878.npy,0,1
spoof_13745.npy,1,0
human_00942.npy,0,1
spoof_22448.npy,1,0
human_01437.npy,0,1
human_06868.npy,0,1
spoof_38104.npy,1,0
human_08020.npy,0,1
spoof_21662.npy,1,0
spoof_32885.npy,1,0
human_02246.npy,0,1
spoof_24071.npy,1,0
spoof_09351.npy,1,0
spoof_08955.npy,1,0
human_00916.npy,0,1
spoof_11043.npy,1,0
human_09068.npy,0,1
spoof_23973.npy,1,0
human_00958.npy,0,1
human_00980.npy,0,1
human_07989.npy,0,1
spoof_01038.npy,1,0
human_08320.npy,0,1
human_07597.npy,0,1
spoof_02017.npy,1,0
human_09584.npy,0,1
human_08317.npy,0,1
spoof_07075.npy,1,0
human_01514.npy,0,1
human_02321.npy,0,1
spoof_15600.npy,1,0
spoof_05630.npy,1,0
human_10146.npy,0,1
human_07957.npy,0,1
spoof_31311.npy,1,0
spoof_07903.npy,1,0
spoof_38260.npy,1,0
human_00066.npy,0,1
human_02532.npy,0,1
spoof_28508.npy,1,0
human_05336.npy,0,1
spoof_21555.npy,1,0
spoof_11565.npy,1,0
human_04304.npy,0,1
human_08099.npy,0,1
spoof_00169.npy,1,0
human_02496.npy,0,1
human_04371.npy,0,1
human_05048.npy,0,1
spoof_14051.npy,1,0
spoof_32018.npy,1,0
spoof_29497.npy,1,0
spoof_00307.npy,1,0
spoof_06232.npy,1,0
spoof_09374.npy,1,0
human_07182.npy,0,1
spoof_16243.npy,1,0
spoof_16928.npy,1,0
human_02085.npy,0,1
human_02169.npy,0,1
human_03725.npy,0,1
human_01608.npy,0,1
spoof_35222.npy,1,0
spoof_37722.npy,1,0
human_08355.npy,0,1
spoof_06744.npy,1,0
human_07827.npy,0,1
human_05907.npy,0,1
human_07943.npy,0,1
human_09770.npy,0,1
spoof_27416.npy,1,0
spoof_05885.npy,1,0
spoof_33994.npy,1,0
spoof_12533.npy,1,0
spoof_09439.npy,1,0
human_00627.npy,0,1
human_06077.npy,0,1
spoof_36098.npy,1,0
spoof_26523.npy,1,0
spoof_21310.npy,1,0
spoof_15193.npy,1,0
